A;A
B;[BCGKSTY]
C;C
D;[ADGKRTW]
G;G
H;[ACHMTWY]
K;[GKT]
M;[ACM]
N;[ABCDGHKMNRSTVWY]
R;[AGR]
S;[CGS]
T;T
V;[ACGMRSV]
W;[ATW]
Y;[CTY]
